Airport,City,Longitude,Latitude
Will Rogers World Airport,Oklahoma City,-97.60070038,35.39310074
Eppley Airfield,Omaha,-95.894096,41.3032
Ontario International Airport,Ontario,-117.6009979,34.05599976
Chicago O'Hare International Airport,Chicago,-87.9048,41.9786
Norfolk International Airport,Norfolk,-76.20120239,36.89459991
Tyndall Air Force Base,Panama City,-85.57540131,30.06959915
Palm Beach International Airport,West Palm Beach,-80.09559631,26.68320084
Portland International Airport,Portland,-122.5979996,45.58869934
Newport News Williamsburg International Airport,Newport News,-76.49299622,37.13190079
Philadelphia International Airport,Philadelphia,-75.2410965,39.87189865
Phoenix Sky Harbor International Airport,Phoenix,-112.012001,33.43429947
General Wayne A. Downing Peoria International Airport,Peoria,-89.69329834,40.66419983
Pittsburgh International Airport,Pittsburgh,-80.23290253,40.49150085
Portland International Jetport Airport,Portland,-70.30930328,43.64619827
Raleigh Durham International Airport,Raleigh/Durham,-78.78749847,35.87760162
Chicago Rockford International Airport,Chicago/Rockford,-89.09719849,42.19540024
Richmond International Airport,Richmond,-77.31970215,37.50519943
Randolph Air Force Base,Universal City,-98.27890015,29.52969933
Reno Tahoe International Airport,Reno,-119.7679977,39.49909973
RoanokeâBlacksburg Regional Airport,Roanoke,-79.975403,37.3255
Greater Rochester International Airport,Rochester,-77.67240143,43.1189003
Rochester International Airport,Rochester,-92.5,43.90829849
Southwest Florida International Airport,Fort Myers,-81.75520325,26.53619957
San Diego International Airport,San Diego,-117.1900024,32.73360062
San Antonio International Airport,San Antonio,-98.46980286,29.53370094
Savannah Hilton Head International Airport,Savannah,-81.20210266,32.12760162
South Bend Regional Airport,South Bend,-86.31729889,41.70869827
Louisville International Standiford Field,Louisville,-85.736,38.1744
Seattle Tacoma International Airport,Seattle,-122.308998,47.449001
Orlando Sanford International Airport,Orlando,-81.23750305,28.77759933
San Francisco International Airport,San Francisco,-122.375,37.61899948
Springfield Branson National Airport,Springfield,-93.38860321,37.24570084
Norman Y. Mineta San Jose International Airport,San Jose,-121.929001,37.362598
Fairchild Air Force Base,Spokane,-117.6559982,47.61510086
Salt Lake City International Airport,Salt Lake City,-111.9779968,40.78839874
Sacramento International Airport,Sacramento,-121.5910034,38.69540024
John Wayne Airport-Orange County Airport,Santa Ana,-117.8679962,33.67570114
Abraham Lincoln Capital Airport,Springfield,-89.67790222,39.84410095
Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,-98.491898,33.9888
Sarasota Bradenton International Airport,Sarasota/Bradenton,-82.55439758,27.39539909
Shaw Air Force Base,Sumter,-80.47059631,33.97269821
St Louis Lambert International Airport,St Louis,-90.370003,38.748697
Spirit of St Louis Airport,St Louis,-90.65200043,38.66210175
Travis Air Force Base,Fairfield,-121.927002,38.26269913
Sioux Gateway Col. Bud Day Field,Sioux City,-96.38439941,42.40259933
Syracuse Hancock International Airport,Syracuse,-76.10630035,43.11119843
Whiteman Air Force Base,Knob Noster,-93.54789734,38.7303009
McChord Air Force Base,Tacoma,-122.4759979,47.13769913
Tinker Air Force Base,Oklahoma City,-97.38659668,35.41469955
Tallahassee Regional Airport,Tallahassee,-84.35030365,30.39649963
Toledo Express Airport,Toledo,-83.80780029,41.58679962
Tampa International Airport,Tampa,-82.53320313,27.97550011
Tri-Cities Regional TN/VA Airport,Bristol/Johnson/Kingsport,-82.407401,36.475201
Tulsa International Airport,Tulsa,-95.88809967,36.19839859
Tucson International Airport,Tucson,-110.9410019,32.11610031
McGhee Tyson Airport,Knoxville,-83.9940033,35.81100082
Vandenberg Air Force Base,Lompoc,-120.5839996,34.73730087
Destin-Ft Walton Beach Airport,Valparaiso,-86.525398,30.4832
Robins Air Force Base,Warner Robins,-83.59190369,32.64009857
Fairbanks International Airport,Fairbanks,-147.8560028,64.81510162
Ted Stevens Anchorage International Airport,Anchorage,-149.9960022,61.17440033
Daniel K Inouye International Airport,Honolulu,-157.924228,21.32062
atl,,-84.375,33.137551
JFK,New York,0,0
JFK,New York City,0,0
